game_id,team,season,seq,date,stadium,opponent,is_home,runs_scored,runs_allowed,run_diff,win,home_away_label,result_label,run_diff_label,scoring_level,allowing_level,early_runs,middle_runs,late_runs,scored_first,led_after_3,led_after_6,game_flow_label,AB,H,BB,SO,double,triple,HR,extra_base_hits,power_score,run_per_hit,offense_pressure_score,offense_label,outs_pitched,innings_pitched,hits_allowed,bb_allowed,hr_allowed,so_pitched,whip_like,strikeout_walk_ratio,run_prevention_score,defense_label
CPBL-2024-xa-1,味全龍,中職2024年,1,2024/3/30 17:07,臺北大巨蛋,樂天桃猿,TRUE,3,2,1,TRUE,主場,勝,小勝,中等得分,低失分,1,2,0,TRUE,TRUE,TRUE,全場壓制型,26,6,4,4,3,0,0,3,3,0.5,8,零星攻勢,27,9,6,4,0,11,1.111111111,2.75,5,壓制力強
CPBL-2024-xa-1,樂天桃猿,中職2024年,1,2024/3/30 17:07,臺北大巨蛋,味全龍,FALSE,2,3,-1,FALSE,客場,敗,小敗,低得分,中等失分,0,1,1,FALSE,FALSE,FALSE,被壓制型,30,6,4,11,2,0,0,2,2,0.333333333,2.5,攻勢受阻,24,8,6,4,0,4,1.25,1,-3,普通防守
CPBL-2024-xa-10,中信兄弟,中職2024年,10,2024/4/4 17:05,臺北大巨蛋,台鋼雄鷹,TRUE,5,3,2,TRUE,主場,勝,小勝,中等得分,中等失分,2,3,0,TRUE,TRUE,TRUE,全場壓制型,28,9,5,2,2,1,0,3,4,0.555555556,12,穩定攻擊,27,9,7,4,1,6,1.222222222,1.5,-2,普通防守
CPBL-2024-xa-10,台鋼雄鷹,中職2024年,10,2024/4/4 17:05,臺北大巨蛋,中信兄弟,FALSE,3,5,-2,FALSE,客場,敗,小敗,中等得分,中等失分,1,2,0,FALSE,FALSE,FALSE,被壓制型,32,7,4,6,1,0,1,2,4,0.428571429,6,零星攻勢,24,8,9,5,0,2,1.75,0.4,-8,失分偏高
CPBL-2024-xa-100,台鋼雄鷹,中職2024年,100,2024/5/17 18:30,澄清湖棒球場,統一7-ELEVEn獅,TRUE,5,9,-4,FALSE,主場,敗,小敗,中等得分,高失分,1,1,3,TRUE,TRUE,FALSE,後段追分型,35,12,1,4,2,0,0,2,2,0.416666667,6,穩定攻擊,27,9,14,2,0,7,1.777777778,3.5,-4,失分偏高
CPBL-2024-xa-100,統一7-ELEVEn獅,中職2024年,100,2024/5/17 18:30,澄清湖棒球場,台鋼雄鷹,FALSE,9,5,4,TRUE,客場,勝,小勝,高得分,中等失分,0,7,2,FALSE,FALSE,TRUE,後段追分型,41,14,2,7,1,1,0,2,3,0.642857143,9.5,穩定攻擊,27,9,12,1,0,4,1.444444444,4,-2,失分偏高
CPBL-2024-xa-101,中信兄弟,中職2024年,101,2024/5/18 17:05,臺中市洲際棒球場,樂天桃猿,TRUE,12,1,11,TRUE,主場,勝,大勝,高得分,低失分,5,6,1,TRUE,TRUE,TRUE,全場壓制型,36,12,8,5,1,0,3,4,10,1,21.5,火力強勢,27,9,7,3,0,5,1.111111111,1.666666667,1,壓制力強
CPBL-2024-xa-101,樂天桃猿,中職2024年,101,2024/5/18 17:05,臺中市洲際棒球場,中信兄弟,FALSE,1,12,-11,FALSE,客場,敗,大敗,低得分,高失分,0,0,1,FALSE,FALSE,FALSE,被壓制型,33,7,3,5,0,0,0,0,0,0.142857143,1.5,低效進攻,24,8,12,8,3,5,2.5,0.625,-18,投打被突破
CPBL-2024-xa-102,味全龍,中職2024年,102,2024/5/18 17:06,臺北市立天母棒球場,富邦悍將,TRUE,1,0,1,TRUE,主場,勝,小勝,低得分,低失分,0,0,1,TRUE,FALSE,FALSE,後段逆轉型,32,7,0,13,0,0,1,1,3,0.142857143,-4.5,攻勢受阻,27,9,5,3,0,7,0.888888889,2.333333333,4,壓制力強
CPBL-2024-xa-102,富邦悍將,中職2024年,102,2024/5/18 17:06,臺北市立天母棒球場,味全龍,FALSE,0,1,-1,FALSE,客場,敗,小敗,低得分,低失分,0,0,0,FALSE,FALSE,FALSE,被壓制型,31,5,3,7,1,0,0,1,1,0,0.5,低效進攻,26,8.666666667,7,0,1,13,0.807692308,13,11,壓制力強
CPBL-2024-xa-103,台鋼雄鷹,中職2024年,103,2024/5/18 17:00,澄清湖棒球場,統一7-ELEVEn獅,TRUE,7,1,6,TRUE,主場,勝,大勝,高得分,低失分,0,5,2,TRUE,FALSE,TRUE,後段追分型,35,12,2,2,1,1,1,3,6,0.583333333,11,火力強勢,27,9,5,2,0,3,0.777777778,1.5,0,壓制力強
CPBL-2024-xa-103,統一7-ELEVEn獅,中職2024年,103,2024/5/18 17:00,澄清湖棒球場,台鋼雄鷹,FALSE,1,7,-6,FALSE,客場,敗,大敗,低得分,高失分,0,0,1,FALSE,FALSE,FALSE,被壓制型,32,5,2,3,0,1,0,1,2,0.2,2.5,低效進攻,24,8,12,2,1,2,1.75,1,-8,失分偏高
CPBL-2024-xa-104,中信兄弟,中職2024年,104,2024/5/19 17:05,臺中市洲際棒球場,樂天桃猿,TRUE,3,4,-1,FALSE,主場,敗,小敗,中等得分,中等失分,2,0,1,TRUE,FALSE,FALSE,被壓制型,34,8,3,11,2,1,1,4,7,0.375,4.5,穩定攻擊,27,9,8,2,1,3,1.111111111,1.5,-4,普通防守
CPBL-2024-xa-104,樂天桃猿,中職2024年,104,2024/5/19 17:05,臺中市洲際棒球場,中信兄弟,FALSE,4,3,1,TRUE,客場,勝,小勝,中等得分,中等失分,2,1,1,FALSE,FALSE,TRUE,拉鋸型,35,8,2,3,2,1,1,4,7,0.5,8.5,穩定攻擊,27,9,8,3,1,11,1.222222222,3.666666667,4,穩定守成
CPBL-2024-xa-105,味全龍,中職2024年,105,2024/5/19 17:05,臺北市立天母棒球場,富邦悍將,TRUE,3,11,-8,FALSE,主場,敗,大敗,中等得分,高失分,2,1,0,TRUE,TRUE,TRUE,拉鋸型,34,6,2,7,2,0,0,2,2,0.5,3.5,零星攻勢,27,9,11,5,1,3,1.777777778,0.6,-14,失分偏高
CPBL-2024-xa-105,富邦悍將,中職2024年,105,2024/5/19 17:05,臺北市立天母棒球場,味全龍,FALSE,11,3,8,TRUE,客場,勝,大勝,高得分,中等失分,0,0,11,FALSE,FALSE,FALSE,後段逆轉型,36,11,5,3,2,0,1,3,5,1,17.5,火力強勢,27,9,6,2,0,7,0.888888889,3.5,2,穩定守成
CPBL-2024-xa-106,台鋼雄鷹,中職2024年,106,2024/5/19 17:00,澄清湖棒球場,統一7-ELEVEn獅,TRUE,4,3,1,TRUE,主場,勝,小勝,中等得分,中等失分,1,2,0,FALSE,FALSE,TRUE,拉鋸型,36,11,4,9,1,0,0,1,1,0.363636364,4.5,穩定攻擊,30,10,9,1,0,3,1,3,-1,普通防守
CPBL-2024-xa-106,統一7-ELEVEn獅,中職2024年,106,2024/5/19 17:00,澄清湖棒球場,台鋼雄鷹,FALSE,3,4,-1,FALSE,客場,敗,小敗,中等得分,中等失分,1,0,2,TRUE,FALSE,FALSE,被壓制型,38,9,1,3,4,0,0,4,4,0.333333333,6.5,穩定攻擊,27,9,11,4,0,9,1.666666667,2.25,1,穩定守成
CPBL-2024-xa-107,富邦悍將,中職2024年,107,2024/7/2 18:35,新北市立新莊棒球場,樂天桃猿,TRUE,2,1,1,TRUE,主場,勝,小勝,低得分,低失分,1,1,0,FALSE,FALSE,TRUE,拉鋸型,32,9,0,8,3,0,0,3,3,0.222222222,1,攻勢受阻,27,9,7,2,0,7,1,3.5,4,壓制力強
